quarter,d,tau,g,c,mu,pd,cum_log_r
18,0.006503030492333875,0.07208112099314438,0.0037749431949873,-0.06557809050081051,0.03290734076943668,3.8635200893605273,0.109247228559739
19,0.016141751730414704,0.07585606418813168,0.0037134570531256283,-0.059714312457716974,0.035338525192459044,3.808604668048219,0.08590725402184507
20,-0.0063519047939720324,0.07956952124125731,0.003724175806623738,-0.08592142603522934,0.03730388684709175,3.7893312843134574,0.06649909745936933
21,-0.01724032494202056,0.08329369704788105,0.003689444741046981,-0.1005340219899016,0.03984290078636226,3.754153275089882,0.04358289448932462
22,0.012538111013961628,0.08698314178892803,0.0036883113636683616,-0.0744450307749664,0.03999471180102607,3.735427717775223,0.07821846488674344
23,0.0036997879287625768,0.09067145315259639,0.0039567286696217474,-0.08697166522383382,0.03664373207265321,3.815596748173524,0.17133470225498337
24,0.004950824238584728,0.09462818182221815,0.004120912757450471,-0.08967735758363342,0.036962364142708835,3.825678966760487,0.20423728425411758
25,-0.001477866840940173,0.09874909457966861,0.004001514962380394,-0.10022696142060879,0.03495311861918625,3.860700928138861,0.25366523492606463
26,0.017115697681747144,0.10275060954204901,0.003873137442497233,-0.08563491186030187,0.02681250366577046,3.9980144424488917,0.42775798917089247
27,0.03253335301022543,0.10662374698454624,0.003876204174224381,-0.07409039397432081,0.03550395406440494,3.8257856840383684,0.29251393613706167
28,0.0003485646290343758,0.11049995115877062,0.003945873357058441,-0.11015138652973624,0.03463742103507546,3.8681567187209818,0.32338169078197954
29,0.03207237722362617,0.11444582451582906,0.004185209057630048,-0.08237344729220289,0.030094171444898114,3.955705569784322,0.4616185475441932
30,0.007761170901804823,0.11863103357345911,0.0042884875875333055,-0.11086986267165429,0.028990029867487034,3.9914132202988872,0.49132001623794164
31,0.008456681051359771,0.12291952116099242,0.004588915978122355,-0.11446284010963265,0.023862993332675317,4.115932692562765,0.6327141282421485
32,-0.009165868767354174,0.12750843713911478,0.004617200695856257,-0.13667430590646895,0.03669832442903043,3.8895359703555483,0.40894330126414147
33,-0.010301206505703903,0.13212563783497103,0.004226560606827162,-0.14242684434067493,0.030911632262694298,3.9834061113989487,0.5201289384446337
34,-0.009790063471499105,0.1363521984417982,0.004159113143772416,-0.1461422619132973,0.03886285515671169,3.8324796450732674,0.39113830871334176
35,0.004530050478264075,0.1405113115855706,0.004625641194632422,-0.13598126110730652,0.0379101675953887,3.8729718588023734,0.46653381517021897
36,-0.039343702807297376,0.14513695278020303,0.00459779793395593,-0.1844806555875004,0.03749963981391798,3.906373376652081,0.4759752914099691
37,-0.071128472231416,0.14973475071415895,0.004666005846857451,-0.22086322294557495,0.03447613048982699,3.999481657853969,0.5554580564894094
38,-0.14640712261190905,0.1544007565610164,0.004842213890543757,-0.30080787917292545,0.031447088216636755,4.11761732019302,0.6144671839288858
39,-0.174817502347002,0.15924297045156016,0.0046100885465273885,-0.33406047279856216,0.03008928463218278,4.163577377636023,0.6474489949108699
40,-0.13327386525880197,0.16385305899808755,0.0043451151905747965,-0.2971269242568895,0.034610255690113,4.040381964213357,0.5832350441813388
41,-0.07756193767069025,0.16819817418866234,0.004375492370249146,-0.2457601118593526,0.03632120229248213,3.971998309683031,0.5892238767701583
42,-0.076679561555099,0.1725736665589115,0.004198867727039373,-0.2492532281140105,0.03559037489431256,3.971007002006478,0.6077938404885539
43,-0.0798607935225562,0.17677253428595086,0.004420167025559901,-0.25663332780850706,0.033778371058048394,4.025947689528435,0.6772424200839393
44,-0.09072484416837365,0.18119270131151075,0.004514156146935482,-0.2719175454798844,0.03594456777906191,4.000381140484168,0.6589548943216488
45,-0.045402436853290956,0.18570685745844623,0.004637347345649238,-0.23110929431173718,0.034830597489154756,4.00607847510785,0.7280155611118242
