d,g,c,mu,pd,cum_log_r,ann_log_r
0.041713214178004436,0.004287261171487072,0.023603108366429818,0.01914847608945475,4.077523016085451,0.09156365564135971,0.09156365564135971
0.07117156322623311,0.005348773330891825,0.050269900307403886,0.01366747770981382,4.225368071497405,0.26056037684795097,0.26056037684795097
-0.0537317304299743,0.004735053196853364,-0.07293232558506449,0.027527566667306803,4.022120447285609,-0.04991293035813893,-0.04991293035813893
-0.05596610312981694,0.0047394756907582465,-0.07593433882299803,0.025790845215124005,4.05654205327643,-0.029432896167139067,-0.029432896167139067
0.09381169867635392,0.005149303313928413,0.07360954658947252,0.0384486674527541,3.7395019268163807,-0.17879419222798143,-0.17879419222798143
0.09089420209272037,0.005271574977739147,0.07132698570790291,0.014842685518036487,4.186374751317329,0.24298994343234437,0.24298994343234437
0.10160187771636342,0.005140097930976028,0.08151586845547465,0.018487135125323437,4.097685789143263,0.17346621466598622,0.17346621466598622
0.12746171838366288,0.005661909583470636,0.10729553021303209,0.008024483214591194,4.311734154716533,0.4015499873230137,0.4015499873230137
0.11976747208310354,0.0056025705300810314,0.0991914328102603,0.004417184882293312,4.382711320352743,0.46280854135256355,0.46280854135256355
0.045327875053706654,0.00498410321896862,0.025175109199114316,0.017077028207292292,4.15665300716672,0.17332815626531328,0.17332815626531328
0.041042355244915465,0.0052374332789448365,0.02079176919919931,0.03329807790128848,3.8743956129414454,-0.1063713522497367,-0.1063713522497367
0.046734049343816905,0.005392386620550005,0.02574030115465735,0.025047796926060073,4.036359213984007,0.04915063368219652,0.04915063368219652
-0.08810538270930621,0.005875278130687597,-0.10915415799070083,0.022243007116281736,4.214987552496719,0.08714731137022902,0.08714731137022902
-0.05115324249880284,0.0048783688868863605,-0.07135092210158771,0.02870846655118247,4.008507367997215,-0.07148145544951312,-0.07148145544951312
0.013437479478489408,0.005464218706788607,-0.006774292940676165,0.02325595857870994,4.098285216353851,0.0803500661283385,0.0803500661283385
