model,h,q5,q10,q25,q50,q75,q90,q95
AR,57,0.6462,1.0573,1.7451,2.5027,3.2626,3.959,4.3683
TrendCyc,57,0.2699,0.7617,1.5745,2.4934,3.404,4.2248,4.7143
AR,58,0.6324,1.0441,1.7359,2.4984,3.2661,3.9625,4.3801
TrendCyc,58,0.274,0.7667,1.5779,2.4899,3.4009,4.223,4.7236
AR,59,0.6415,1.0482,1.731,2.497,3.2698,3.9672,4.38
TrendCyc,59,0.2591,0.758,1.5818,2.4927,3.41,4.2317,4.7341
AR,60,0.6468,1.0567,1.735,2.4987,3.2695,3.9554,4.3656
TrendCyc,60,0.2701,0.7471,1.5808,2.4959,3.4164,4.2308,4.7254
AR,61,0.6296,1.0429,1.7292,2.4972,3.2587,3.9552,4.3622
TrendCyc,61,0.2456,0.7415,1.5754,2.4935,3.4195,4.2474,4.7341
AR,62,0.6362,1.0447,1.7255,2.4921,3.2487,3.9472,4.3583
TrendCyc,62,0.2439,0.7485,1.5694,2.4931,3.4207,4.2495,4.7552
AR,63,0.6364,1.0477,1.7319,2.4976,3.2626,3.9561,4.3711
TrendCyc,63,0.2382,0.7445,1.5755,2.4963,3.4261,4.2599,4.7633
AR,64,0.6218,1.0318,1.7331,2.5,3.2631,3.9608,4.3785
TrendCyc,64,0.2417,0.7371,1.5705,2.5048,3.4307,4.2723,4.7732
AR,65,0.6354,1.0373,1.7355,2.4948,3.2633,3.9566,4.3747
TrendCyc,65,0.228,0.7379,1.5716,2.5039,3.4349,4.2701,4.7839
AR,66,0.6288,1.0458,1.7324,2.499,3.2531,3.9509,4.3722
TrendCyc,66,0.2295,0.735,1.5773,2.509,3.4366,4.2808,4.7773
AR,67,0.6326,1.0517,1.7351,2.4993,3.2617,3.9455,4.3595
TrendCyc,67,0.211,0.7145,1.5713,2.5029,3.4476,4.2883,4.7911
AR,68,0.6404,1.0402,1.728,2.4956,3.2696,3.9455,4.3663
TrendCyc,68,0.2169,0.7177,1.5642,2.5079,3.447,4.299,4.7907
AR,69,0.6421,1.0521,1.7369,2.5013,3.2638,3.9432,4.3528
TrendCyc,69,0.199,0.7177,1.5665,2.5031,3.4422,4.2841,4.793
AR,70,0.6356,1.0522,1.7319,2.5007,3.2649,3.9492,4.3588
TrendCyc,70,0.2076,0.7026,1.5533,2.4974,3.4452,4.2905,4.7947
AR,71,0.6278,1.0427,1.7348,2.5022,3.2592,3.9395,4.3492
TrendCyc,71,0.1929,0.709,1.5618,2.5048,3.4442,4.301,4.8089
AR,72,0.6304,1.0387,1.7322,2.4923,3.2547,3.9396,4.3514
TrendCyc,72,0.1848,0.7053,1.5525,2.499,3.4488,4.3102,4.8289
AR,73,0.6322,1.044,1.732,2.4947,3.2546,3.9393,4.3478
TrendCyc,73,0.1776,0.6932,1.5544,2.5043,3.455,4.3133,4.8249
AR,74,0.6361,1.0475,1.7285,2.4932,3.2491,3.9386,4.3506
TrendCyc,74,0.1694,0.68,1.5519,2.4975,3.4503,4.3204,4.8425
AR,75,0.632,1.0453,1.7321,2.4934,3.2553,3.9411,4.3518
TrendCyc,75,0.1657,0.6808,1.5437,2.4945,3.4538,4.3101,4.8377
AR,76,0.6325,1.0417,1.73,2.4936,3.2571,3.9469,4.3616
TrendCyc,76,0.1627,0.6815,1.5335,2.5006,3.4564,4.3169,4.8345
AR,77,0.6315,1.0461,1.7267,2.504,3.2658,3.9543,4.366
TrendCyc,77,0.1707,0.6773,1.5337,2.499,3.4577,4.3203,4.8454
AR,78,0.6328,1.0362,1.7311,2.5057,3.2694,3.9606,4.3559
TrendCyc,78,0.1605,0.6746,1.533,2.4948,3.4597,4.3246,4.8381
AR,79,0.6379,1.0501,1.7367,2.5032,3.2678,3.9522,4.3618
TrendCyc,79,0.1519,0.6686,1.5376,2.5014,3.4666,4.3357,4.8362
AR,80,0.6425,1.0485,1.7333,2.5014,3.2647,3.9606,4.3708
TrendCyc,80,0.1379,0.6621,1.5272,2.5004,3.4677,4.3382,4.8489
AR,81,0.6334,1.0481,1.7354,2.5006,3.2643,3.958,4.3783
TrendCyc,81,0.1314,0.6622,1.5325,2.5008,3.4734,4.3272,4.8634
AR,82,0.6427,1.0507,1.7344,2.4927,3.2608,3.955,4.371
TrendCyc,82,0.1225,0.6513,1.5357,2.5083,3.4704,4.3447,4.8664
AR,83,0.6218,1.0409,1.7329,2.4961,3.2627,3.9524,4.3711
TrendCyc,83,0.1039,0.6361,1.5253,2.5028,3.4763,4.359,4.8804
AR,84,0.6361,1.0473,1.7294,2.5001,3.2602,3.9471,4.3638
TrendCyc,84,0.1038,0.6354,1.5284,2.5067,3.4778,4.368,4.8866
AR,85,0.6363,1.0479,1.7337,2.5024,3.2692,3.9559,4.3575
TrendCyc,85,0.0936,0.6307,1.5218,2.4984,3.4787,4.3596,4.8862
AR,86,0.6339,1.0484,1.74,2.5051,3.2667,3.9508,4.3647
TrendCyc,86,0.1028,0.6378,1.5189,2.4962,3.4814,4.3688,4.8975
AR,87,0.6414,1.0481,1.7362,2.5025,3.2746,3.96,4.3614
TrendCyc,87,0.1067,0.6239,1.5144,2.4941,3.4792,4.3548,4.8967
AR,88,0.6179,1.0391,1.7377,2.4963,3.2603,3.958,4.3594
TrendCyc,88,0.1099,0.6238,1.5087,2.4998,3.485,4.3764,4.9025
AR,89,0.6369,1.0463,1.7342,2.4973,3.2688,3.9592,4.3626
TrendCyc,89,0.0921,0.6138,1.5087,2.4938,3.4808,4.3745,4.9182
AR,90,0.6434,1.0559,1.7425,2.5045,3.2691,3.9453,4.3631
TrendCyc,90,0.0749,0.6095,1.4976,2.4965,3.4864,4.3846,4.9264
AR,91,0.6449,1.0575,1.7418,2.5065,3.2685,3.9529,4.3625
TrendCyc,91,0.0778,0.6017,1.4975,2.4978,3.4961,4.3788,4.917
AR,92,0.645,1.0537,1.7389,2.5062,3.2612,3.9522,4.3634
TrendCyc,92,0.0759,0.6082,1.4961,2.4977,3.5043,4.3945,4.9291
AR,93,0.6438,1.0544,1.7444,2.5081,3.2684,3.9593,4.3693
TrendCyc,93,0.0654,0.604,1.503,2.494,3.4952,4.3938,4.9415
AR,94,0.6325,1.0496,1.7277,2.4982,3.2676,3.9581,4.3694
TrendCyc,94,0.0484,0.5979,1.4952,2.4942,3.4951,4.3933,4.9423
AR,95,0.6299,1.0332,1.7254,2.5018,3.2666,3.9548,4.3699
TrendCyc,95,0.0485,0.5884,1.4877,2.4961,3.4944,4.4044,4.9396
AR,96,0.6412,1.0486,1.7298,2.5004,3.2697,3.9575,4.375
TrendCyc,96,0.0389,0.5845,1.4859,2.4949,3.4967,4.4022,4.9377
AR,97,0.6496,1.0537,1.746,2.5062,3.2776,3.956,4.3701
TrendCyc,97,0.0474,0.5764,1.4867,2.4895,3.5036,4.4061,4.9646
AR,98,0.6371,1.0485,1.7386,2.5111,3.2695,3.9619,4.3721
TrendCyc,98,0.0379,0.5844,1.4784,2.4947,3.5025,4.4206,4.9607
AR,99,0.6354,1.0524,1.7363,2.5032,3.2701,3.9633,4.3706
TrendCyc,99,0.0261,0.5736,1.4777,2.4894,3.5054,4.4207,4.9755
AR,100,0.6349,1.0498,1.7391,2.5029,3.2738,3.9549,4.3693
TrendCyc,100,0.0269,0.5719,1.4847,2.4887,3.5042,4.416,4.9612
